ASN,Organization,CO2 Emissions
37057,VODACOM-LESOTHO,20.83
33567,TELECOM-LESOTHO,20.83
37642,Comnet-Lesotho-AS,20.83
25695,LEO,20.83
138933,FNCPL-AS-AP Fiber Net Communication Pvt. Ltd.,23.36
140324,ACSPPL-AS-AP Airlink Communication Service Provider Pvt. Ltd.,23.36
141459,CLEAN-AS-AP Clean Network Pvt. Ltd,23.36
141732,ANPL-AS-AP Aone Network Pvt. Ltd,23.36
149631,IPC-AS-AP IOE Pashchimanchal Campus,23.36
149866,SSCNPL-AS-AP Super Sitapaila Cable Net Pvt. Ltd,23.36
149037,MAVORION-AS-AP Mavorion Systems,23.36
135334,UDPL-AS-AP Umrao Datacenter Pvt Ltd,23.36
135335,MAXNET-AS-AP Max Net Solutions Pvt Ltd,23.36
142053,INFONET2-AS-AP Infonet Communication Private Limited,23.36
142606,SHANGRILA-AS-AP Shangrila Informatics Private Limited,23.36
146947,NNPL-AS-AP Nimble Network Pvt Ltd,23.36
147184,LMDCN-AS-AP Lumbini Max,23.36
134995,IZONE-AS-AP I. ZONE PVT. LTD,23.36
133149,KONNECTNEPAL-AS-AP Konnect Nepal Networks Pvt Ltd,23.36
151393,NNICPL-AS-AP Nepal Network Information Center Pvt. Ltd.,23.36
151798,SMARTLINK1-AS-AP SmartLink Telecommunications Private Limited,23.36
151396,SJN-AS-AP Sajilo Net Pvt Ltd,23.36
148979,FWCPL-AS-AP Fiberworld Communication Pvt. Ltd.,23.36
137080,FCPL-AS-AP Firstlink Communications Pvt. Ltd.,23.36
136477,PSNPL-AS-AP P.D.S. Server Network Pvt. Ltd.,23.36
136380,WEB-NETWORKS-AS-AP Web Networks Pvt. Ltd.,23.36
63991,ARROWNETPVTLTD-NP Arrownet Pvt.Ltd,23.36
59370,ACCESS-NP Access World Tech Pvt. Ltd.,23.36
58504,TECHMINDS-NP TECHMINDS NETWORKS PVT. LTD.,23.36
45170,NREN-AS-NP Nepal Research and Education Network,23.36
45424,HONS-AS-NP Network Pool Allocated for HONS Network,23.36
138546,NCELL-AS-AP Ncell Pty. Ltd.,23.36
133923,KANTIPUR-AS-AP Kantipur Publications Limited,23.36
139922,DMNPL-AS-AP DISH MEDIA NETWORK PUBLIC LIMITED,23.36
58459,WEBSURFER-INTERNATIONAL-TRANSIT Websurfer International Transit,23.36
138605,NICASIABANK-AS-AP NIC ASIA Bank,23.36
136763,FWCPL-AS-AP Fiberworld Communication Pvt. Ltd.,23.36
38217,DS-AS-NP Dataspace Pvt. Ltd.,23.36
56204,NETMAX-NP Net Max Technologies Pvt. Ltd.,23.36
56196,IBSSNET-NP IBSS Nepal Internet,23.36
135327,ANACPL-AS-AP Asianet,23.36
23672,IBSSNET-NP IBSS Nepal Internet,23.36
152736,SINKO-AS-AP Sinko IT Engineering Pvt. LTD,23.36
152448,GTAISPL-AS-AP Global Trading And IT Solution Pvt. Ltd.,23.36
141410,AIPL-AS-AP Airson Internet Pvt Ltd,23.36
139261,METROLINK-AS-AP Metrolink Business Group Pvt Ltd,23.36
134504,EVEREST-AS-AP Everest Link Pvt. Ltd,23.36
131266,UCNPL-AS-AP Udaya Cable Network Pvt. Ltd.,23.36
152677,GRS1-AS-AP GRS Link,23.36
132877,KSPL-AS-AP Kalash Services Pvt Ltd,23.36
152178,SAHAJ-AS-AP Sahaj Network Pvt. Ltd.,23.36
150133,MIPL-AS-AP Made Infotech Pvt Ltd,23.36
142297,SMARTLINK-AS-AP Smart Link Network Pvt Ltd,23.36
138495,ALISHA-AS-AP Alisha Communication Link Pvt.Ltd,23.36
136530,ULTRANET-AS-AP Ultranet Communications,23.36
134467,SMPL-AS-AP Syangja Media,23.36
141047,NDSPL-AS-AP Nepal Digital Service Pvt. Ltd.,23.36
150138,NEA-AS-AP Nepal Electricity Authority,23.36
140989,BBNPL-AS-AP Broad Band Nepal Pvt. Ltd.,23.36
139224,LISPL-AS-AP Limpid ICT Solution Pvt. Ltd,23.36
138350,PRABHUTV-AS-AP PRABHU DIGITAL PUBLIC LIMITED,23.36
137209,OBIPL-AS-AP Oasis Broadband Internet Pvt. Ltd.,23.36
140050,NG-AS-AP Next Geekers Pvt. Ltd.,23.36
138964,BARAHI-AS-AP Barahi Internet Technologies Pvt. Ltd.,23.36
150424,JNLPL-AS-AP Janaki Net Link,23.36
24550,WEBSURFERNP-AS-NP Websurfer Nepal Internet Service Provider,23.36
55427,BROADLINK-AS-AP Broadlink Nepal,23.36
131341,DOITGON-AS-AP Department of Information Technology,23.36
153566,RWTPL-AS-AP Rem Work Technologies Private Limited,23.36
152691,CAAON-AS-AP Civil Aviation Authority of Nepal,23.36
151663,ICPL-AS-AP Islington College Pvt. Ltd.,23.36
150780,KUMARIBANKLIMITED-AS-AP Kumari Bank Limited,23.36
150691,PCBL-AS-AP Prime Commercial Bank Ltd,23.36
142008,NDPCL-AS-AP Nepal Digital Payments Company Limited,23.36
149034,UNITENETWORKS-AS-AP Unite Networks,23.36
142621,NPSPL-AS-AP Nepal Payment Solution Pvt. Ltd.,23.36
141691,WIPL-AS-AP Waling Internet Pvt. Ltd.,23.36
141240,NIBL-AS-AP Nepal Investment Bank Limited,23.36
139701,PTPL-AS-AP Plasma Technologist Pvt Ltd,23.36
139256,NITC-AS-AP National Information Technology Center,23.36
139237,NEPALPOLICE-AS-AP Nepal Police,23.36
139196,IMEGROUPPVTLTD-AS-AP IME Group Pvt. Ltd,23.36
138388,POKHARA-AS-AP Pokhara Internet Pvt. Ltd.,23.36
136979,SANIMABANKLIMITED-AS-AP SANIMA BANK LIMITED,23.36
136219,PRABHUBANKLIMITED-AS-AP PRABHU BANK LIMITED,23.36
136047,INFODEV-AS-AP Info Developers Pvt. Ltd.,23.36
134951,MOFGON-AS-AP Ministry of Finance,23.36
133925,GLOBALBANKLIMITED-AS-AP Global IME Bank Limited,23.36
133179,SYNTEGRATE-AS-AP Syntegrate,23.36
133128,MBL-AS-AP Machhapuchchhre Bank Limited,23.36
133092,F1SOFT-NP F-1 Soft International Pvt Ltd,23.36
132856,KU-AS-NP Kathmandu University,23.36
132270,NABILBANKLIMITED-AS-AP Nabil Bank Limited,23.36
58433,HIMALAYANBANK01-NP Himalayan Bank Ltd.,23.36
23647,CCNEP-AS-NP Communications & Communicate Nepal Pvt Ltd,23.36
18222,DATAHUB-AS-AP Data Hub Pvt. Ltd.,23.36
45650,VIANET-NP VIA NET COMMUNICATION LTD.,23.36
4613,MOS-NP Mercantile Office Systems,23.36
24504,COMPLAND-AS-NP Computer Land Communications Global AS,23.36
149817,CEIPL-AS-AP Cloud Eight International Pvt. Ltd.,23.36
132799,DMNPL-AS-AP DISH MEDIA NETWORK PUBLIC LIMITED,23.36
58456,IOE-NET-NP-AS Institute of Engineering,23.36
45353,NITC-AS-AP NITC: IT Agency of Government of Nepal,23.36
152307,DWPL-AS-AP DataWorld,23.36
151480,DATASPACEPVTLTD-AS-AP Dataspace Pvt. Ltd.,23.36
151207,KPL-AS-AP Khalti Private Limited,23.36
150331,BCPL-AS-AP Beni Communication Private Limited,23.36
23752,NPTELECOM-NP-AS Nepal Telecommunications Corporation,23.36
149652,NBL-AS-AP Nepal Bank Limited,23.36
142065,WIFINEPAL-AS-AP Wifi Nepal Private Limited,23.36
141032,NEPALINK-AS-AP Nepalink Communication Pvt. Ltd.,23.36
141024,BMNPL-AS-AP Big Marshyangdi Net Pvt. Ltd.,23.36
140948,NEOLINKPVTLTD-AS-AP Neo Link Pvt. Ltd.,23.36
139902,SCNPL-AS-AP SURKHET CABLE NET T.V. PVT. LTD.,23.36
