# name: AS Org
# date: 202505
# program start time: 2025-05-08 01:15:53
# file creation time: 2025-05-08 01:29:39
# exe:build-as_org2info.pl
#    argument: -D 202505
#    argument: -B 20250501.as-org2info.txt
#    argument: -w families.txt
#    argument: /data/external/whois-database-dumps/202505/20250501.delegated-afrinic.txt.gz
#    argument: /data/external/whois-database-dumps/202505/20250501.delegated-apnic.txt.gz
#    argument: /data/external/whois-database-dumps/202505/20250501.delegated-lacnic.txt.gz
#    argument: /data/external/whois-database-dumps/202505/20250501.delegated-ripencc.txt.gz
#    argument: /data/external/whois-database-dumps/202505/20250501.delegated-iana.txt.gz
# format:org_id|changed|org_name|country|source
1800CO-2-ARIN|20171130|1-800 Contacts, Inc.|US|ARIN
1800FL-ARIN|20230425|1-800-Flowers.com, Inc.|US|ARIN
1800H-ARIN|20160520|1-800-HOSTING, Inc.|US|ARIN
1881CS-ARIN|20121010|1881CS/XPC|US|ARIN
1FBU-ARIN|20180521|1st Financial Bank USA|US|ARIN
1GPUC-ARIN|20160531|1798 Global Partners (USA), Corp.|US|ARIN
1STP-ARIN|20241125|FIRST STEP INTERNET, LLC|US|ARIN
1UWEB-ARIN|20250428|1U Web, INC.|US|ARIN
280INC-ARIN|20171026|280, Inc.|US|ARIN
2CC-6-ARIN|20240130|281 Communications Corporation Inc.|US|ARIN
2CHEC-ARIN|20191217|2checkout.com|US|ARIN
2CI-3-ARIN|20180904|21st Century Insurance Group|US|ARIN
2CO-ARIN|20241017|GENESISCARE USA OF FLORIDA, LLC|US|ARIN
2HF-1-ARIN|20210406|24 Hour Fitness USA, Inc.|US|ARIN
2KGAM-ARIN|20170321|2K GAMES, Inc.|US|ARIN
2SS-3-ARIN|20110812|2nd Story Software, Inc.|US|ARIN
3CL-3-ARIN|20120213|360 Communications, LLC|US|ARIN
3ECOMP-ARIN|20171004|3E COMPANY ENVIRONMENTAL, ECOLOGICAL AND ENGINEERING|US|ARIN
3IN-ARIN|20201023|3Men@Work Integrated Networks, Inc.|CA|ARIN
3MCOMP-Z-ARIN|20250417|3M Company|US|ARIN
3UTEL-ARIN|20241125|Telecom North America Inc.|US|ARIN
3ZNET-ARIN|20240104|3z.net|US|ARIN
4DVIS-ARIN|20241125|4DVISION LLC|US|ARIN
4IMPRI-ARIN|20110924|4imprint|US|ARIN
4ISAIA-ARIN|20121010|48 Intelligence Squadron/SC, Air Intelligence Agency|US|ARIN
4LC-ARIN|20110924|4 Less Communications, Inc.|US|ARIN
4OVER-1-ARIN|20110924|4 Over, Inc.|US|ARIN
4RUL-ARIN|20110924|4Life Research USA, LLC|US|ARIN
4RWEB-ARIN|20160708|4RWEB, Inc|US|ARIN
4WEBC-ARIN|20210428|4WEB.CA|CA|ARIN
5DL-ARIN|20240725|5Nines Data, LLC|US|ARIN
5LINX-ARIN|20180228|Globalinx|US|ARIN
702COM-ARIN|20241125|702 Communications|US|ARIN
7CG-3-ARIN|20121010|7th Communications Group/GNE|US|ARIN
7CS-3-ARIN|20121010|707 California Street|US|ARIN
7ESG-ARIN|20250313|Air Force Systems Networking|US|ARIN
7THLEV-ARIN|20121010|7th Level, Inc.|US|ARIN
84LUM-ARIN|20210226|84 LUMBER COMPANY|US|ARIN
8X8INC-ARIN|20220621|8x8, Inc.|US|ARIN
915498-Z-ARIN|20240724|915498 Ontario Inc|CA|ARIN
@aut-10000-JPNIC||Nagasaki Cable Media Inc.|JP|JPNIC
@aut-10001-JPNIC||Mics Network Corporation|JP|JPNIC
@aut-10002-JPNIC||IGAUENO CABLE TELEVISION CO.,LTD|JP|JPNIC
@aut-10003-JPNIC||Ogaki Cable Television Co.,Inc.|JP|JPNIC
@aut-10004-JPNIC||Phoenix Communications Inc.|JP|JPNIC
@aut-10006-JPNIC||SECOM Trust Systems Co.,Ltd.|JP|JPNIC
@aut-10010-JPNIC||TOKAI Communications Corporation|JP|JPNIC
@aut-10011-JPNIC||advanscope inc.|JP|JPNIC
@aut-10012-JPNIC||Rakuten Mobile, Inc.|JP|JPNIC
@aut-10013-JPNIC||FreeBit Co.,Ltd.|JP|JPNIC
@aut-10014-JPNIC||Nihon University|JP|JPNIC
@aut-10015-JPNIC||Cyber Wave Japan Co., Ltd.|JP|JPNIC
@aut-10016-JPNIC||Minaminihon Information Processing Center Co Ltd|JP|JPNIC
@aut-10019-JPNIC||Matsusaka Cable-TV Station Inc.|JP|JPNIC
@aut-10021-JPNIC||KVH Co.,Ltd|JP|JPNIC
@aut-10029-APNIC|20171205|SHYAM SPECTRA PVT LTD|IN|APNIC
@aut-10034-APNIC|20181114|SEOUL AGRICULTURAL MARINE PRODUCTS CORP.|KR|APNIC
@aut-10035-APNIC|20211129|Hyundai Department Store Co., Ltd.|KR|APNIC
@aut-10036-APNIC|20190507|DLIVE|KR|APNIC
@aut-10038-APNIC|20231206|NHNCLOUD|KR|APNIC
@aut-10039-APNIC|20201125|Korea Health Industry Development Institute|KR|APNIC
