as1,as2,count
3356,48237,530236
3356,749,1136696
174,200612,698742
174,3356,4264506
3356,49544,2347969
3356,7018,810396
174,7018,731872
1299,49544,183672
1299,7018,1303881
48237,714,1259
1299,174,5668933
1299,714,44299
49544,714,6477
174,48237,126667
174,49544,481800
1299,48237,197813
1299,8375,4910
31399,8375,346
3356,721,4006390
721,721,4017015
3257,48237,114011
3257,7922,84464
174,7922,255103
49544,7922,22304
2152,3356,260793
2152,2152,566723
2152,7377,7237
3356,3356,1431819
2152,49544,2542
3356,7922,37621
3356,701,488216
22394,701,1195389
174,701,380829
1299,701,755749
3356,6461,1837586
21928,6461,40266
174,6461,1272176
49544,6461,69523
1299,16509,1462475
16509,16509,3434609
48237,8075,887
200612,8075,1052
49544,8075,5604
200612,3257,145426
174,3257,1681617
16509,174,1116725
2914,48237,157897
2914,2914,1061068
2914,58453,528558
58453,58453,5999860
58453,9808,11745251
174,58453,701226
49544,58453,77270
48237,7713,5065
23693,7713,55057
174,7713,501346
1299,7713,344009
17676,48237,500
17676,3257,47596
17676,49544,4900
12322,174,8068
12322,12322,41142
12322,49544,116
3320,3356,791353
174,3320,486034
1299,3320,1253591
3356,5400,48083
2856,5400,165023
174,5400,28187
2856,49544,1340
20940,48237,445
174,20940,338833
4637,49544,29568
20940,4637,72171
2914,4713,462334
174,2914,1388918
2914,49544,1074563
1299,5410,3199
174,5410,2892
49544,5410,144
3356,4134,513647
174,4134,887197
1299,4134,1238059
3356,4637,345117
1221,4637,1293419
3257,4637,168852
2914,9318,227507
701,9318,16193
9318,9318,122993
49544,9318,12220
3257,4837,104987
174,4837,488481
1299,4837,1062041
3320,3320,31463
396982,48237,3219
396982,396982,2964
15169,200612,4326
15169,396982,1190216
15169,49544,24419
17557,48237,3276
17557,200612,3426
17557,49544,13342
16509,3257,211474
14618,16509,501495
16509,49544,30273
1299,8075,23062
2914,4766,66862
174,4766,194639
4766,49544,19081
209,3356,2492892
22773,3257,405330
22773,49544,12276
48237,5511,28828
2914,5511,415881
2914,9121,541911
1299,9121,524161
9121,9121,84505
5511,5617,37686
174,5511,702745
3356,5089,20384
174,6830,1147907
5089,6830,89044
49544,6830,21849
3356,5607,5561
5607,5607,21412
3257,5607,4580
49544,5607,160
1299,15557,38691
15557,174,28968
15557,49544,1062
174,812,114186
49544,812,3744
48237,6762,53726
