AS1,Org1_ID,AS2,Org2_ID,Total_CO2,CO2_Normalized
60725,O3B-AS SES ASTRA S.A.,37460,ORANGE-CA,0.0,0.00e+00
12969,Vodafone_Iceland Ljosleidarinn ehf,211589,RUV-CDN Rikisutvarpid Ohf,28.33,1.17e-10
2116,GlobalConnect-NO GLOBALCONNECT AS,6667,EUNET-FINLAND Elisa Oyj,32.49,1.34e-10
1828,UNITAS,51826,EVROC evroc AB,35.82,1.48e-10
13194,"BITE UAB ""Bite Lietuva""",199508,S1NETWORKS-AS S1 Networks Oy,35.82,1.48e-10
15830,Equinix Equinix (EMEA) Acquisition Enterprises B.V.,30880,SPACEDUMP-AS SpaceDump IT AB,35.82,1.48e-10
20514,QBRANCH Axians AB,47699,BBK-AS Stiftelsen for Internetinfrastruktur,35.82,1.48e-10
28917,"Fiord-AS Fiord Networks, UAB",29672,STEK-AS S:t Erik Kommunikation AB,35.82,1.48e-10
51826,EVROC evroc AB,13237,LAMBDANET-AS euNetworks GmbH,35.82,1.48e-10
1764,NEXTLAYER-AS Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
1764,NEXTLAYER-AS Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
1836,GREEN green.ch AG,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
2613,VAN_GULIK Willem van Gulik,50963,INFRALY Infraly Ltd liab. Co,36.6,1.51e-10
3250,NETSKIN Netskin GmbH,8758,IWAY Iway AG,36.6,1.51e-10
8220,COLT COLT Technology Services Group Limited,6772,IMPNET-AS ImproWare AG,36.6,1.51e-10
12307,RAVANA Sandro Bolliger trading as Bolliger Network Solutions,13150,CATON CATO NETWORKS LTD,36.6,1.51e-10
12307,RAVANA Sandro Bolliger trading as Bolliger Network Solutions,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
12307,RAVANA Sandro Bolliger trading as Bolliger Network Solutions,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,12307,RAVANA Sandro Bolliger trading as Bolliger Network Solutions,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,12350,VTX-NETWORK VTX Services SA,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,15623,CYBERLINK Cyberlink AG,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,20932,SIG-ST Services Industriels de Geneve,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,21232,GGAMAUR Genossenschaft GGA Maur,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,34288,AS34288 Kantonsschule Zug,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,35360,GARGUNET Frederic Gargula,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,51786,VELDER-AS Patrick Velder,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,51873,AS-ARCADE Arcade Solutions AG,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,56987,AS-ABACLOUDA ABACLOUDA SAS,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,57777,MASSAR Jeroen Massar,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,58057,SECUREBIT Securebit AG,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,59414,CLOUDSCALE cloudscale.ch AG,36.6,1.51e-10
12347,VIRTUALTEC Virtualtec Solutions AG,198385,AlpineDC AlpineDC SA,36.6,1.51e-10
12350,VTX-NETWORK VTX Services SA,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
12350,VTX-NETWORK VTX Services SA,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
12350,VTX-NETWORK VTX Services SA,58280,STUCCHIMAX-AS Massimiliano Andrea Stucchi,36.6,1.51e-10
12553,GRAWEHR Andreas Grawehr,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
