AS1,AS1_org_id,AS1_org_name,AS2,AS2_org_id,AS2_org_name,Total_CO2,CO2_Normalized
60725,ORG-SS20-RIPE,SES ASTRA S.A.,37460,ORG-OC1-AFRINIC,Orange Centreafrique,0.0,0.00e+00
12969,ORG-RE2-RIPE,Ljosleidarinn ehf,211589,ORG-RO11-RIPE,Rikisutvarpid Ohf,28.33,2.61e-09
2116,ORG-BNA1-RIPE,GLOBALCONNECT AS,6667,ORG-EO1-RIPE,Elisa Oyj,32.49,3.00e-09
1828,UG-210-ARIN,Unitas Global,51826,ORG-EA1526-RIPE,evroc AB,35.82,3.30e-09
13194,ORG-BGIS1-RIPE,"UAB ""Bite Lietuva""",199508,ORG-SNO2-RIPE,S1 Networks Oy,35.82,3.30e-09
15830,ORG-TP3-RIPE,Equinix (EMEA) Acquisition Enterprises B.V.,30880,ORG-SN138-RIPE,SpaceDump IT AB,35.82,3.30e-09
20514,ORG-QSA6-RIPE,Axians AB,47699,ORG-IIS40-RIPE,Stiftelsen for Internetinfrastruktur,35.82,3.30e-09
28917,ORG-FNU3-RIPE,"Fiord Networks, UAB",29672,ORG-SA56-RIPE,S:t Erik Kommunikation AB,35.82,3.30e-09
51826,ORG-EA1526-RIPE,evroc AB,13237,ORG-GVNG1-RIPE,euNetworks GmbH,35.82,3.30e-09
1764,ORG-NLTU1-RIPE,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
1764,ORG-NLTU1-RIPE,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
1836,ORG-GCA1-RIPE,green.ch AG,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,50963,ORG-ILLC2-RIPE,Infraly Ltd liab. Co,36.6,3.37e-09
3250,ORG-NG60-RIPE,Netskin GmbH,8758,ORG-DNSA1-RIPE,Iway AG,36.6,3.37e-09
8220,ORG-CI9-RIPE,COLT Technology Services Group Limited,6772,ORG-IA5-RIPE,ImproWare AG,36.6,3.37e-09
12307,ORG-SBTA6-RIPE,Sandro Bolliger trading as Bolliger Network Solutions,13150,ORG-CNL17-RIPE,CATO NETWORKS LTD,36.6,3.37e-09
12307,ORG-SBTA6-RIPE,Sandro Bolliger trading as Bolliger Network Solutions,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
12307,ORG-SBTA6-RIPE,Sandro Bolliger trading as Bolliger Network Solutions,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,12307,ORG-SBTA6-RIPE,Sandro Bolliger trading as Bolliger Network Solutions,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,12350,ORG-VA3-RIPE,VTX Services SA,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,15623,ORG-CISA1-RIPE,Cyberlink AG,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,20932,ORG-TS3-RIPE,Services Industriels de Geneve,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,21232,ORG-GM1-RIPE,Genossenschaft GGA Maur,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,34288,ORG-KZ1-RIPE,Kantonsschule Zug,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,35360,ORG-FG108-RIPE,Frederic Gargula,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,51786,ORG-PV52-RIPE,Patrick Velder,36.6,3.37e-09
12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,51873,ORG-ASA44-RIPE,Arcade Solutions AG,36.6,3.37e-09
