AS1,AS2,CO2_per_link,Count,Total_CO2,Relation,Source
3,54755,383.55,2,767.1,-1,bgp
12,54965,383.55,351,134626.05,-1,bgp
12,394666,383.55,2451,940081.05,-1,bgp
16,2153,383.55,4,1534.2,0,bgp
24,7575,383.55,6,2301.3,0,bgp
33,54680,383.55,1388,532367.4,-1,bgp
34,2,383.55,352,135009.6,-1,bgp
35,5691,383.55,697,267334.35,-1,bgp
42,553,344.14,173,59536.22,0,bgp
42,715,410.3,6035,2476160.5,-1,bgp
42,852,267.41,260,69526.6,0,bgp
42,917,397.51,285,113290.35,0,bgp
42,4608,551.45,74,40807.3,0,bgp
42,5400,274.77,1,274.77,0,bgp
42,6424,280.09,393,110075.37,0,bgp
42,6461,328.48,1541,506187.68,0,bgp
42,6667,199.56,274,54679.44,0,bgp
42,6696,97.61,98,9565.78,0,bgp
42,6730,65.41,132,8634.12,0,bgp
42,6762,339.37,1191,404189.67,0,bgp
42,6774,379.99,1,379.99,0,bgp
42,6894,268.97,166,44649.02,0,bgp
42,6908,270.34,262,70829.08,0,bgp
42,7195,319.07,149,47541.43,0,bgp
42,7575,479.5,233,111723.5,0,bgp
42,8218,188.92,1485,280546.2,0,bgp
42,8298,186.86,257,48023.02,0,bgp
42,8426,196.08,165,32353.2,0,bgp
42,8529,429.83,184,79088.72,0,bgp
42,8758,65.49,150,9823.5,0,bgp
42,8888,442.92,184,81497.28,0,"bgp,mlp"
42,8896,51.61,190,9805.9,0,bgp
42,9002,293.51,1289,378334.39,0,bgp
42,9009,330.59,12,3967.08,0,"bgp,mlp"
42,9044,78.6,33,2593.8,0,bgp
42,9050,253.18,21,5316.78,0,mlp
42,9304,523.25,189,98894.25,0,"bgp,mlp"
42,9957,438.17,3,1314.51,0,bgp
42,42473,299.62,246,73706.52,0,"bgp,mlp"
42,42541,160.09,178,28496.02,0,bgp
42,47147,157.21,664,104387.44,0,bgp
42,47160,53.19,7,372.33,0,bgp
42,47692,220.39,354,78018.06,0,"bgp,mlp"
42,48919,262.77,248,65166.96,0,bgp
42,49544,336.68,1011,340383.48,0,"bgp,mlp"
42,49709,287.53,116,33353.48,0,bgp
42,50300,213.06,174,37072.44,0,bgp
42,50304,176.69,352,62194.88,0,bgp
42,50763,280.79,165,46330.35,0,bgp
42,50877,290.63,124,36038.12,0,"bgp,mlp"
42,51088,295.94,85,25154.9,0,bgp
42,51786,36.6,85,3111.0,0,bgp
42,52005,58.01,2,116.02,0,bgp
42,52304,265.52,227,60273.04,-1,bgp
42,52306,265.52,465,123466.8,-1,bgp
42,56987,76.22,195,14862.9,0,bgp
42,58057,256.85,510,130993.5,0,bgp
42,58308,44.18,126,5566.68,0,bgp
42,58453,494.19,2,988.38,0,bgp
42,59414,36.6,85,3111.0,0,bgp
42,59890,113.58,270,30666.6,0,bgp
42,60171,374.45,198,74141.1,0,bgp
42,60326,338.04,61,20620.44,0,bgp
42,64073,146.16,90,13154.4,0,bgp
55,69,383.55,350,134242.5,-1,bgp
57,675,383.55,1641,629405.55,-1,bgp
57,6461,383.55,685,262731.75,0,bgp
57,7973,383.55,8,3068.4,-1,bgp
62,19,383.55,3900,1495845.0,-1,bgp
62,6300,383.55,17,6520.35,0,bgp
62,6939,383.55,6681,2562497.55,0,bgp
62,62659,383.55,303,116215.65,-1,bgp
62,63011,383.55,18,6903.9,-1,bgp
62,63321,383.55,17,6520.35,-1,bgp
62,63474,383.55,3192,1224291.6,-1,bgp
72,7575,485.44,7,3398.08,0,bgp
101,293,383.55,200,76710.0,0,bgp
101,852,383.55,220,84381.0,0,bgp
101,1239,385.45,136,52421.2,0,bgp
101,2497,421.44,541,227999.04,0,bgp
101,3428,383.55,55,21095.25,-1,bgp
101,3491,387.02,3599,1392884.98,0,bgp
101,3807,383.55,7816,2997826.8,-1,bgp
101,4193,383.55,1670,640528.5,-1,bgp
101,7575,383.55,341,130790.55,0,bgp
101,7774,383.55,393,150735.15,-1,bgp
101,9002,386.41,202,78054.82,0,bgp
101,10430,383.55,23088,8855402.4,-1,bgp
101,11548,383.55,702,269252.1,-1,bgp
101,11649,383.55,12,4602.6,-1,bgp
101,11956,383.55,2794,1071638.7,-1,bgp
101,13476,383.55,7561,2900021.55,-1,bgp
101,14221,383.55,720,276156.0,-1,bgp
101,14954,383.55,706,270786.3,-1,bgp
101,17200,383.55,1761,675431.55,-1,bgp
101,18106,383.55,192,73641.6,0,bgp
101,19014,383.55,630,241636.5,-1,bgp
101,22972,383.55,702,269252.1,-1,bgp
101,34927,383.55,50,19177.5,0,bgp
101,35280,387.42,329,127461.18,0,bgp
101,38001,387.79,228,88416.12,0,bgp
101,40272,383.55,351,134626.05,-1,bgp
101,49544,387.2,548,212185.6,0,bgp
101,53472,383.55,10,3835.5,-1,bgp
101,64247,383.55,1042,399659.1,-1,bgp
101,394256,383.55,174,66737.7,0,bgp
103,293,383.55,22,8438.1,0,bgp
109,5713,241.31,5,1206.55,0,bgp
111,1239,383.55,5,1917.75,0,bgp
112,1140,253.31,4,1013.24,0,bgp
112,2027,49.86,4,199.44,0,bgp
112,12859,262.21,6,1573.26,0,bgp
112,24961,322.5,4,1290.0,0,bgp
112,34927,284.75,4,1139.0,0,bgp
112,49544,332.06,12,3984.72,0,bgp
112,50877,290.79,4,1163.16,0,bgp
112,58308,44.18,4,176.72,0,bgp
112,59890,113.12,8,904.96,0,bgp
122,6939,383.55,465,178350.75,0,bgp
137,12,287.53,156,44854.68,-1,bgp
137,2597,287.53,1946,559533.38,-1,bgp
137,3275,287.53,6,1725.18,-1,bgp
137,5502,287.53,359,103223.27,-1,bgp
137,6461,287.53,2673,768567.69,0,bgp
137,8218,287.53,1662,477874.86,0,bgp
137,8978,287.53,164,47154.92,-1,bgp
137,9009,287.53,375,107823.75,0,bgp
137,16004,287.53,26,7475.78,-1,bgp
137,20745,287.53,360,103510.8,-1,bgp
137,20811,287.53,128,36803.84,0,bgp
137,21333,287.53,358,102935.74,-1,bgp
137,29609,287.53,73,20989.69,-1,bgp
137,31034,287.53,1,287.53,0,bgp
137,31638,287.53,7539,2167688.67,-1,bgp
137,35110,287.53,169,48592.57,-1,bgp
137,41327,287.53,136,39104.08,0,bgp
137,42081,249.21,2529,630252.09,-1,bgp
137,42165,287.53,360,103510.8,-1,bgp
137,49544,287.53,262,75332.86,0,bgp
137,49976,287.53,39,11213.67,-1,bgp
137,50877,287.53,130,37378.9,0,bgp
137,51708,287.53,126,36228.78,-1,bgp
137,199342,287.53,26,7475.78,-1,bgp
137,202032,287.53,125,35941.25,0,bgp
137,209631,287.53,100,28753.0,-1,bgp
160,293,383.55,7,2684.85,0,bgp
161,2562,383.55,144,55231.2,-1,bgp
173,2511,482.32,1739,838754.48,-1,bgp
173,6939,482.32,290,139872.8,0,bgp
173,9002,482.32,7,3376.24,0,bgp
173,9370,482.32,7,3376.24,0,bgp
173,17639,482.32,7,3376.24,0,bgp
173,24482,482.32,77,37138.64,0,bgp
173,38639,482.32,7,3376.24,0,bgp
173,49544,482.32,7,3376.24,0,bgp
174,14,383.55,3959,1518474.45,-1,bgp
174,101,385.38,17147,6608110.86,-1,bgp
174,103,383.55,900,345195.0,-1,bgp
174,111,383.55,2043,783592.65,-1,bgp
174,122,383.55,1374,526997.7,-1,bgp
174,137,287.53,9631,2769201.43,-1,bgp
174,156,383.55,1323,507436.65,-1,bgp
174,160,383.55,736,282292.8,-1,bgp
174,188,383.55,5727,2196590.85,-1,bgp
174,210,383.55,2306,884466.3,-1,bgp
174,223,383.55,344,131941.2,-1,bgp
174,237,383.55,22456,8612998.8,-1,bgp
174,249,240.3,1838,441671.4,0,bgp
174,264,383.55,3784,1451353.2,-1,bgp
174,376,174.81,35386,6185826.66,-1,bgp
174,513,36.6,344984,12626414.4,-1,bgp
174,549,174.81,10548,1843895.88,-1,bgp
174,553,344.14,94874,32649938.36,-1,bgp
174,557,383.55,1719,659322.45,-1,bgp
174,693,383.55,343,131557.65,-1,bgp
174,701,348.64,380829,132772222.56,0,bgp
174,702,249.85,38314,9572752.9,0,bgp
174,703,486.52,27178,13222640.56,0,bgp
174,766,144.54,3466,500975.64,-1,bgp
174,800,379.66,975,370168.5,-1,bgp
174,803,272.77,13037,3556102.49,-1,bgp
174,812,336.32,114186,38403035.52,0,bgp
174,819,257.59,1025,264029.75,-1,bgp
174,852,265.68,171266,45501950.88,-1,bgp
174,889,383.55,104,39889.2,-1,bgp
174,892,383.55,320,122736.0,-1,bgp
174,902,383.55,332,127338.6,-1,bgp
174,906,453.41,19186,8699124.26,-1,bgp
174,917,389.01,307,119426.07,-1,bgp
174,927,383.55,211,80929.05,-1,bgp
174,930,383.55,247,94736.85,-1,bgp
174,932,493.77,7801,3851899.77,-1,bgp
174,939,383.55,343,131557.65,-1,bgp
174,954,383.55,362,138845.1,-1,bgp
174,971,381.32,5731,2185344.92,-1,bgp
174,973,317.47,1032,327629.04,-1,bgp
174,978,383.55,551,211336.05,-1,bgp
174,979,445.92,27281,12165143.52,-1,bgp
174,983,460.95,7279,3355255.05,-1,bgp
174,984,417.93,327311,136793086.23,-1,bgp
174,992,383.55,1347,516641.85,-1,bgp
174,998,383.55,335,128489.25,-1,bgp
174,999,333.77,2299,767337.23,-1,bgp
174,1742,383.55,4421,1695674.55,-1,bgp
174,1764,211.79,381832,80868199.28,-1,bgp
174,1790,383.55,2407,923204.85,-1,bgp
174,1798,383.55,1576,604474.8,-1,bgp
174,1825,383.55,341,130790.55,-1,bgp
174,1828,325.25,134572,43769543.0,-1,bgp
174,1836,61.19,155346,9505621.74,-1,bgp
174,1886,174.48,2335,407410.8,-1,bgp
174,1916,201.21,181772,36574344.12,-1,bgp
174,1955,182.82,843,154117.26,-1,bgp
174,1968,383.55,10917,4187215.35,-1,bgp
174,1996,383.55,688,263882.4,-1,bgp
174,2018,630.75,32284,20363133.0,-1,bgp
174,2033,383.55,4840,1856382.0,-1,bgp
174,2044,383.55,1081,414617.55,-1,bgp
174,2047,216.25,389,84121.25,-1,bgp
174,2107,227.65,5200,1183780.0,-1,bgp
174,2108,174.48,868,151448.64,-1,bgp
174,2149,383.55,678,260046.9,-1,bgp
174,2200,148.77,11976,1781669.52,-1,bgp
174,2288,44.18,74,3269.32,-1,bgp
174,2485,44.18,962,42501.16,-1,bgp
174,2495,383.55,1488,570722.4,-1,bgp
174,2497,432.28,565032,244252032.96,-1,bgp
174,2516,435.57,168625,73447991.25,-1,bgp
174,2518,440.93,22031,9714128.83,-1,bgp
174,2519,431.33,47423,20454962.59,-1,bgp
174,2544,383.55,8716,3343021.8,-1,bgp
174,2549,484.83,2255,1093291.65,-1,bgp
174,2552,383.55,613,235116.15,-1,bgp
174,2589,210.89,3142,662616.38,-1,bgp
174,2611,132.26,3252,430109.52,-1,bgp
174,2615,387.63,115,44577.45,-1,bgp
174,2637,383.55,1459,559599.45,-1,bgp
174,2707,383.55,4165,1597485.75,-1,bgp
174,2711,383.55,113114,43384874.7,-1,bgp
174,2721,383.55,3229,1238482.95,-1,bgp
174,2728,383.55,92,35286.6,-1,bgp
174,2729,383.55,1033,396207.15,-1,bgp
174,2731,383.55,5749,2205028.95,-1,bgp
174,2857,344.14,419,144194.66,-1,bgp
174,2860,134.6,21971,2957296.6,-1,bgp
174,2901,383.55,1853,710718.15,-1,bgp
174,2914,336.31,1388918,467107012.58,0,bgp
174,3061,383.55,682,261581.1,-1,bgp
174,3064,378.89,4325,1638699.25,-1,bgp
174,3130,374.06,880,329172.8,-1,bgp
174,3132,303.26,1339,406065.14,-1,bgp
174,3170,266.08,287673,76544031.84,-1,bgp
174,3213,210.89,1499,316124.11,-1,bgp
174,3216,401.26,141722,56867369.72,-1,bgp
174,3238,45.05,348,15677.4,-1,bgp
174,3245,264.21,192,50728.32,-1,bgp
174,3252,362.87,465,168734.55,-1,bgp
174,3255,296.21,16934,5016020.14,-1,bgp
174,3257,317.23,1681617,533459360.91,0,bgp
174,3266,215.01,2362,507853.62,-1,bgp
174,3302,287.53,20203,5808968.59,-1,bgp
174,3303,205.05,134927,27666781.35,-1,bgp
174,3320,312.48,486034,151875904.32,0,bgp
174,3326,278.58,37141,10346739.78,-1,bgp
174,3330,120.01,1351,162133.51,-1,bgp
174,3356,372.67,4264506,1589253451.02,0,bgp
174,3360,353.28,7983,2820234.24,-1,bgp
