Organization,CO2 Emissions
LEO,20.83
ETherNeT,23.55
netcom NET.COM SHPK,24.42
nextfiber NEXT Fiber SHPK,24.42
XhimiNet Gezim Cerri,24.42
AMC ONE ALBANIA SH.A.,24.42
ermal Tele.Co.Albania SHPK,24.42
VANI VANI SHPK,24.42
ShqiponjaISP shqiponjaisp.al LLC,24.42
infogis INFOGIS SH.P.K.,24.42
Netsyscom Netsyscom sh.p.k,24.42
menocom MENOCOM Sh.p.k.,24.42
txrx TX RX SHPK,24.42
iHostAL Thimaq Strati trading as iHost.al,24.42
LightNet Lightnet Sh.p.k.,24.42
NETCOM NetCom ISP Sh.p.k.,24.42
elinet Erlis Marku,24.42
SkyElbasan SKY ELBASAN sh.p.k,24.42
Drinia Drinia Tech SH.P.K,24.42
DIGITEL DIGITEL ALBANIA SHPK,24.42
FastLink FastLink SHPK,24.42
NetBSS Business Strategic Solution SHPK,24.42
LuvaGroup Luva Group Sh.p.k.,24.42
giganet G net Sh.p.k,24.42
Diginet Diginet shpk,24.42
AbissNet Abissnet sh.a.,24.42
STARNET Starnet Sh.p.k.,24.42
abnet ABnet Sh.p.k,24.42
ASP Albania State Police,24.42
PriamNET PRIAM NET Sh.p.k.,24.42
StyleNet Ezmir Kraja trading as StyleNet,24.42
Acenet Acenet sh.p.k.,24.42
UltraNet ULTRANET sh.p.k,24.42
vigal VIG SERVICES SHQIPERI Sh.p.k.,24.42
isanet ISA.NET Sh.p.k.,24.42
"PCBK ""ProCredit Bank"" Sh.a",24.42
"negenet Ylli Zeka trading as N.T.SH. ""NEGENETI""",24.42
KOSNET KOSNET Telecommunications LLC,24.42
Nisatel Nisatel LTD,24.42
IPRO IPRO Sh.p.k.,24.42
Vista VISTA SH.P.K.,24.42
CredinsBank Credins Bank Sh.A.,24.42
AKSHI Agjencia Kombetare Shoqerise se Informacionit,24.42
INTERFIBER INTERFIBER Sh.p.k,24.42
FLYTEC TELECOM SOCIEDAD ANONIMA,24.86
RED PARAGUAYA DE TELECOMUNICACIONES SA,24.86
EXTRA S.A.,24.86
ITATEC SOCIEDAD ANONIMA,24.86
ARLINDO PORATH NETN@R NARANJITO,24.86
HINET E.A.S. UNIPERSONAL,24.86
JOSE MARIA DELPINOTELMIIX,24.86
DOUGLAS BIONDO BOSCHETTITECNOPAGE,24.86
PERES RAMOS WILLIAN GIGABIT INTERNET,24.86
RODRIGUEZ PAEZ HUGO HERNAN TELNET PARAGUAY,24.86
PANDA CONECT S.A.,24.86
PRIETO TELLES ALEXANDREF1NET TELECOM PY,24.86
MOSSO Y ASOCIADOS SOCIEDAD ANONIMA CABLE DIGITAL DEL ESTE,24.86
SIMON ALBERTO KONARREUSKI MLOT,24.86
Saldivar Sosa Rodrigo Agustin RAYNET,24.86
MULTI LINK S.A.,24.86
DAHMER MARIANO ROBERTO ADRIANO,24.86
Vicente Sosa Peralta,24.86
TV MAX CABLE S.A.,24.86
GONZALEZ BERTRAND ANIBAL JOSE MARIA OVEVE NET,24.86
FRETES SEGOVIA FRANCISCO JAVIER,24.86
UFINET PARAGUAY S.A.,24.86
P.A. NETWORKS E.A.S,24.86
NORTE NET E.A.S.,24.86
CAMPOS FARIAS GUILHERME,24.86
MACHADO BAEZ,24.86
WIRSCHKE MONGES RICARDO DANIEL,24.86
TV 2 S.A.,24.86
TVH S.A,24.86
SAMISTRARO BAMBERG DANGELO DANIEL,24.86
FLYNET SRL,24.86
HUGO JAVIER ROLON QUINONEZ,24.86
ASOCIACION PARAGUAYA DE PROVEEDORES DE INTERNET Y TELECOMUNICACIONES,24.86
FRANCISCO VILLALBA SANTACRUZ PLUS.NET,24.86
FRANCISCO DARIO DAVID GARCIA AYALA NETCON,24.86
