AS1,AS2,Total_CO2
60725,37460,0.0
12969,211589,28.33
2116,6667,32.49
1828,51826,35.82
13194,199508,35.82
15830,30880,35.82
20514,47699,35.82
28917,29672,35.82
51826,13237,35.82
1764,20893,36.6
1764,39764,36.6
1836,20893,36.6
2613,50963,36.6
3250,8758,36.6
8220,6772,36.6
12307,13150,36.6
12307,20893,36.6
12307,39764,36.6
12347,12307,36.6
12347,12350,36.6
12347,13237,36.6
12347,15623,36.6
12347,20932,36.6
12347,21232,36.6
12347,34288,36.6
12347,35360,36.6
12347,51786,36.6
12347,51873,36.6
12347,56987,36.6
12347,57777,36.6
12347,58057,36.6
12347,59414,36.6
12347,198385,36.6
12350,20893,36.6
12350,39764,36.6
12350,58280,36.6
12553,13237,36.6
12553,202032,36.6
13150,59414,36.6
13237,20893,36.6
13237,39764,36.6
13237,62035,36.6
13250,12350,36.6
13250,13237,36.6
13250,59891,36.6
13250,202032,36.6
15398,13237,36.6
15398,59891,36.6
15398,202032,36.6
15623,13150,36.6
15623,20893,36.6
15623,39764,36.6
15623,204178,36.6
15830,58280,36.6
15830,199554,36.6
15830,208731,36.6
20932,20893,36.6
20932,39764,36.6
21232,13150,36.6
21232,20893,36.6
21232,39764,36.6
24585,13237,36.6
29222,12347,36.6
29222,20893,36.6
29222,39764,36.6
29691,20893,36.6
29691,39764,36.6
30786,13237,36.6
31662,1836,36.6
31736,59891,36.6
33965,1836,36.6
34288,20893,36.6
34288,39764,36.6
35223,13237,36.6
35360,20893,36.6
35360,39764,36.6
39351,20893,36.6
41047,47152,36.6
41051,58280,36.6
42357,2613,36.6
50869,56883,36.6
51786,13150,36.6
51786,20893,36.6
51786,39764,36.6
51873,20893,36.6
51873,39764,36.6
51873,58280,36.6
51907,13237,36.6
56987,20893,36.6
56987,39764,36.6
57521,60326,36.6
57777,20893,36.6
57777,39764,36.6
58057,20893,36.6
58057,39764,36.6
58115,3250,36.6
58115,12347,36.6
58115,20893,36.6
58115,24585,36.6
58115,39764,36.6
58115,41655,36.6
58115,57210,36.6
58280,13237,36.6
58299,20893,36.6
58299,39764,36.6
59414,20893,36.6
59414,39764,36.6
59812,12307,36.6
59812,35360,36.6
59812,57777,36.6
59891,12553,36.6
59891,30786,36.6
59891,31662,36.6
59891,51907,36.6
59891,58280,36.6
60326,56883,36.6
60326,58280,36.6
196621,12350,36.6
196621,13237,36.6
198385,15398,36.6
198385,204178,36.6
198385,206087,36.6
198385,215044,36.6
203969,202032,36.6
204178,1836,36.6
204178,12307,36.6
204178,13237,36.6
204178,202032,36.6
206492,16347,36.6
207335,13237,36.6
207335,202032,36.6
208444,202032,36.6
208731,13237,36.6
208731,202032,36.6
209823,202032,36.6
215044,13237,36.6
215782,13237,36.6
215782,202032,36.6
400671,35708,36.6
2613,6775,37.14
40934,2613,37.54
2613,50414,37.72
2613,32934,38.81
35600,51826,40.0
51826,58308,40.0
213317,15576,40.28
43142,2613,40.43
13237,213317,43.4
1828,2072,44.18
1828,35353,44.18
1828,41191,44.18
1828,44000,44.18
1828,49763,44.18
1828,50172,44.18
1828,197551,44.18
1828,199396,44.18
1828,203030,44.18
1828,204207,44.18
1828,211925,44.18
1828,328126,44.18
2072,2027,44.18
2072,34177,44.18
2072,34927,44.18
2072,41327,44.18
2072,49434,44.18
2072,56987,44.18
2072,58308,44.18
2613,7500,44.18
2613,29169,44.18
2613,29608,44.18
2613,31638,44.18
2613,32590,44.18
2613,42687,44.18
2613,42845,44.18
2613,44902,44.18
2613,47608,44.18
2613,56630,44.18
2613,57734,44.18
2613,60350,44.18
2613,327956,44.18
4455,2072,44.18
8487,2613,44.18
12362,16347,44.18
12409,13237,44.18
12409,34927,44.18
12779,205010,44.18
13113,58308,44.18
13237,51326,44.18
13237,59689,44.18
13237,197696,44.18
13237,198111,44.18
13237,200748,44.18
13237,206059,44.18
14907,50172,44.18
14907,203030,44.18
16101,13237,44.18
16101,34927,44.18
16347,16101,44.18
16347,41191,44.18
16347,44000,44.18
16347,50172,44.18
16347,51269,44.18
16347,199396,44.18
16347,203030,44.18
16347,211925,44.18
20562,42929,44.18
25160,2072,44.18
25160,49763,44.18
30844,50172,44.18
35353,16347,44.18
35353,34177,44.18
35600,2072,44.18
35600,35353,44.18
35600,41191,44.18
35600,44000,44.18
35600,49763,44.18
35600,50172,44.18
35625,25358,44.18
37002,2613,44.18
37054,35625,44.18
39801,57976,44.18
40934,58308,44.18
41191,2027,44.18
41191,13237,44.18
41191,34177,44.18
41191,34927,44.18
41191,56987,44.18
41191,58308,44.18
44000,2027,44.18
44000,13237,44.18
44000,34177,44.18
44000,34927,44.18
44000,56987,44.18
44000,58308,44.18
44842,20562,44.18
49028,41728,44.18
49434,41191,44.18
49434,44000,44.18
49434,49763,44.18
49434,50172,44.18
49763,2027,44.18
49763,13237,44.18
49763,16347,44.18
49763,34177,44.18
49763,56987,44.18
49763,58308,44.18
49923,2027,44.18
49923,56987,44.18
50172,2027,44.18
50172,13237,44.18
50172,34177,44.18
50172,34927,44.18
50172,56987,44.18
50172,58308,44.18
50234,13237,44.18
50446,13237,44.18
50446,34927,44.18
51326,34927,44.18
58208,60171,44.18
59689,16276,44.18
59689,39801,44.18
62141,2027,44.18
62141,56987,44.18
132337,197551,44.18
132337,199396,44.18
132337,200748,44.18
132337,201080,44.18
132337,203030,44.18
132337,204207,44.18
132337,204403,44.18
132337,213317,44.18
132337,215234,44.18
132337,216239,44.18
132337,328411,44.18
137409,201080,44.18
137409,204207,44.18
197422,16347,44.18
197551,13237,44.18
197551,16347,44.18
198385,197551,44.18
198385,199248,44.18
198385,204403,44.18
199248,13237,44.18
199396,13237,44.18
199524,197551,44.18
199524,199396,44.18
199524,204207,44.18
199524,205010,44.18
199524,211925,44.18
199524,216239,44.18
201675,132337,44.18
203030,2027,44.18
204207,2027,44.18
204207,13237,44.18
204207,16347,44.18
204207,198385,44.18
204403,13237,44.18
205010,2027,44.18
205483,1828,44.18
205483,16347,44.18
205919,13237,44.18
209323,13237,44.18
211925,2027,44.18
211925,13237,44.18
212321,13237,44.18
215234,13237,44.18
216239,1828,44.18
216239,2027,44.18
216239,13237,44.18
216239,16347,44.18
216239,198385,44.18
2119,34244,45.26
2119,29518,46.2
40934,2027,48.1
2486,8220,49.24
132337,207992,52.12
12552,203052,52.48
47160,14537,54.21
38040,47160,54.3
24429,47160,54.44
198385,15436,55.01
202827,204092,55.17
34177,10075,55.46
22697,47160,55.58
13101,15576,55.61
39180,12552,57.04
204092,16276,57.12
20294,21491,57.39
20294,37027,57.39
36924,37679,57.39
57118,57406,57.52
50858,12552,57.88
44530,39781,59.18
203969,1836,59.67
57381,31800,61.5
3856,8758,61.52
211448,198385,61.63
210036,204092,62.95
26415,12969,63.94
34177,399728,64.08
44765,15576,64.58
209823,204092,65.34
11019,47160,66.61
8839,7713,66.99
29691,13150,67.24
31216,34177,67.86
2119,44034,68.05
11019,34177,68.8
50869,59570,69.95
23752,58456,70.08
174,44757,71.64
1880,205206,71.64
2119,47708,71.64
2603,47708,71.64
12552,39658,71.64
13194,47155,71.64
20764,29672,71.64
25160,51826,71.64
28917,47708,71.64
28917,52177,71.64
35598,49862,71.64
39351,29672,71.64
39351,49862,71.64
42473,29672,71.64
47708,50304,71.64
51519,3856,71.64
51519,28931,71.64
51519,29672,71.64
51519,31449,71.64
51519,52177,71.64
51519,56504,71.64
51519,56883,71.64
51826,12552,71.64
52005,2874,71.64
52177,20764,71.64
52177,42473,71.64
56504,52005,71.64
57976,52005,71.64
208621,205206,71.64
209659,13194,71.64
213113,205206,71.64
40676,39180,71.7
1759,201991,72.25
1759,210722,72.25
39351,56883,72.36
199524,197617,72.58
33891,49770,73.12
559,8271,73.2
559,8453,73.2
559,57210,73.2
559,61363,73.2
559,62035,73.2
1764,62035,73.2
3250,1764,73.2
3250,5405,73.2
3250,34288,73.2
3250,35360,73.2
3250,51786,73.2
3250,51873,73.2
3250,56987,73.2
3250,57777,73.2
3250,58299,73.2
3250,59414,73.2
3856,51786,73.2
3856,59414,73.2
5398,58280,73.2
5405,57210,73.2
5405,61363,73.2
5405,62035,73.2
8453,1836,73.2
8453,8298,73.2
8453,8758,73.2
9092,8758,73.2
12307,12553,73.2
12307,24585,73.2
12307,35223,73.2
12307,42275,73.2
12307,51768,73.2
12307,51907,73.2
12307,61363,73.2
12307,62035,73.2
12307,202032,73.2
12307,207335,73.2
12307,208444,73.2
12347,15547,73.2
12347,20612,73.2
12347,25091,73.2
12347,39351,73.2
12347,49544,73.2
12347,58299,73.2
12347,59890,73.2
13030,20893,73.2
13030,21190,73.2
13150,20612,73.2
13237,39419,73.2
13250,12307,73.2
13250,15547,73.2
13250,20932,73.2
13250,21232,73.2
13250,29691,73.2
13250,34288,73.2
13250,35360,73.2
13250,51786,73.2
13250,51873,73.2
13250,56987,73.2
13250,57777,73.2
13250,58299,73.2
13250,59414,73.2
13250,198385,73.2
15398,12307,73.2
15398,15547,73.2
15398,20932,73.2
15398,21232,73.2
15398,29691,73.2
15398,34288,73.2
15398,35360,73.2
15398,51786,73.2
15398,56987,73.2
15398,57777,73.2
15398,59414,73.2
15547,12553,73.2
15547,41872,73.2
15547,51907,73.2
15547,208731,73.2
15623,12553,73.2
15623,15398,73.2
15623,24585,73.2
15623,30786,73.2
15623,35223,73.2
15623,51768,73.2
15623,51907,73.2
15623,57210,73.2
15623,61363,73.2
15623,62035,73.2
15623,207335,73.2
15623,208444,73.2
15623,215044,73.2
15623,215782,73.2
15796,12350,73.2
15796,202032,73.2
15830,206492,73.2
16242,12307,73.2
16242,13237,73.2
16242,15623,73.2
16242,20932,73.2
16242,21232,73.2
16242,34288,73.2
16242,35360,73.2
16242,51786,73.2
16242,51873,73.2
16242,56987,73.2
16242,57777,73.2
16242,58057,73.2
16242,58299,73.2
16242,59414,73.2
16242,198385,73.2
20612,20893,73.2
20612,39764,73.2
20893,25091,73.2
20893,49544,73.2
20893,59890,73.2
20932,12553,73.2
20932,24585,73.2
20932,30786,73.2
20932,35223,73.2
20932,51768,73.2
20932,51907,73.2
20932,57210,73.2
20932,61363,73.2
20932,62035,73.2
20932,213317,73.2
20932,215044,73.2
20932,215782,73.2
21232,12553,73.2
21232,24585,73.2
21232,35223,73.2
21232,51768,73.2
21232,51907,73.2
21232,61363,73.2
21232,62035,73.2
24585,1764,73.2
24585,35360,73.2
24585,59414,73.2
25563,12350,73.2
25563,13237,73.2
25598,1764,73.2
25598,13237,73.2
29075,20893,73.2
29075,62035,73.2
29222,13250,73.2
29222,15398,73.2
29222,16242,73.2
29222,29668,73.2
29222,30786,73.2
29222,62035,73.2
29668,1764,73.2
29668,12307,73.2
29668,15623,73.2
29668,20932,73.2
29668,29691,73.2
29668,35360,73.2
29668,51786,73.2
29668,51873,73.2
29668,56987,73.2
29668,57777,73.2
29668,59414,73.2
29691,12553,73.2
29691,24585,73.2
29691,30786,73.2
29691,35223,73.2
29691,51768,73.2
29691,51907,73.2
29691,57210,73.2
29691,61363,73.2
29691,62035,73.2
30786,1836,73.2
30786,12307,73.2
30786,15547,73.2
30786,21232,73.2
30786,34288,73.2
30786,35360,73.2
30786,51786,73.2
30786,56987,73.2
30786,57777,73.2
30786,58299,73.2
30786,59414,73.2
31736,1836,73.2
33891,25563,73.2
34288,24585,73.2
34288,35223,73.2
34288,61363,73.2
34288,62035,73.2
34554,12350,73.2
34578,12350,73.2
34578,13237,73.2
34960,12350,73.2
35202,13237,73.2
35202,60326,73.2
35223,1836,73.2
35223,34927,73.2
35360,12553,73.2
35360,35223,73.2
35360,51907,73.2
35360,61363,73.2
35360,62035,73.2
35708,34800,73.2
35793,12307,73.2
35793,15623,73.2
35793,21232,73.2
35793,51786,73.2
35793,59414,73.2
39351,35223,73.2
39351,39764,73.2
39351,57210,73.2
39351,61363,73.2
39351,62035,73.2
39764,25091,73.2
39764,49544,73.2
39764,59890,73.2
41047,56883,73.2
41666,56883,73.2
42760,13237,73.2
49192,12307,73.2
51768,1836,73.2
51768,34288,73.2
51768,34927,73.2
51768,35360,73.2
51768,51786,73.2
51768,56987,73.2
51768,58057,73.2
51768,59414,73.2
51776,12307,73.2
51776,15623,73.2
51776,21232,73.2
51776,51786,73.2
51776,51873,73.2
51776,59414,73.2
51786,12553,73.2
51786,24585,73.2
51786,35223,73.2
51786,51907,73.2
51786,61363,73.2
51786,62035,73.2
51873,12553,73.2
51873,35223,73.2
51873,51768,73.2
51873,51907,73.2
51873,62035,73.2
51907,1836,73.2
56987,12553,73.2
56987,24585,73.2
56987,35223,73.2
56987,51907,73.2
56987,61363,73.2
56987,62035,73.2
57210,1836,73.2
57210,12307,73.2
57210,13237,73.2
57210,21232,73.2
57210,34288,73.2
57210,34927,73.2
57210,35360,73.2
57210,51786,73.2
57210,51873,73.2
57210,56987,73.2
57210,57777,73.2
57210,58057,73.2
57210,59414,73.2
57777,12553,73.2
57777,24585,73.2
57777,35223,73.2
57777,42275,73.2
57777,51768,73.2
57777,51907,73.2
57777,61363,73.2
57777,62035,73.2
58057,61363,73.2
58115,12553,73.2
58115,12654,73.2
58115,13250,73.2
58115,15398,73.2
58115,16242,73.2
58115,25598,73.2
58115,29668,73.2
58115,30786,73.2
58115,35202,73.2
58115,35223,73.2
58115,51768,73.2
58115,51776,73.2
58115,51907,73.2
58280,1836,73.2
58299,62035,73.2
59414,12553,73.2
59414,35223,73.2
59414,51907,73.2
59414,61363,73.2
59414,62035,73.2
59891,33845,73.2
59891,34578,73.2
59891,39419,73.2
59891,51768,73.2
59891,57210,73.2
59891,61363,73.2
60129,12350,73.2
61363,1764,73.2
61363,1836,73.2
61363,13237,73.2
61363,34927,73.2
62167,12347,73.2
62167,20893,73.2
62167,39764,73.2
62512,13237,73.2
62512,59891,73.2
198385,12553,73.2
198385,204631,73.2
198385,207335,73.2
198385,208731,73.2
198385,215782,73.2
198951,202032,73.2
199554,13237,73.2
199554,202032,73.2
202032,197964,73.2
203969,12307,73.2
203969,15623,73.2
204082,12307,73.2
204178,15547,73.2
206492,198385,73.2
206492,202032,73.2
207335,1764,73.2
207335,1836,73.2
208731,1836,73.2
212483,202032,73.2
215044,1764,73.2
215044,1836,73.2
215044,12307,73.2
215044,15547,73.2
215044,21232,73.2
215782,1764,73.2
215782,1836,73.2
215782,12307,73.2
215782,15547,73.2
215782,21232,73.2
30081,39180,73.7
204092,214223,73.87
2613,52025,74.56
2613,3856,75.26
16347,50414,76.56
26415,2613,78.04
39351,28931,78.36
50628,51826,80.0
15547,213317,81.08
3399,47699,81.62
35834,12969,82.27
5398,61423,82.51
5713,8309,83.73
39351,47699,85.92
41051,11967,86.34
132337,211448,86.37
199524,213317,87.18
2027,213317,87.52
11019,56987,87.67
16347,213317,87.7
39801,13150,87.72
3399,3856,88.06
2484,37100,88.29
1301,34927,88.36
1828,35426,88.36
1828,43436,88.36
1828,50087,88.36
1828,50234,88.36
1828,50446,88.36
1828,51326,88.36
1828,57141,88.36
1828,59689,88.36
1828,197205,88.36
1828,198111,88.36
1828,200748,88.36
1828,203547,88.36
1828,204403,88.36
1828,205010,88.36
1828,205919,88.36
1828,206059,88.36
1828,209323,88.36
1828,213317,88.36
1828,215234,88.36
2072,8298,88.36
2072,49544,88.36
2072,50628,88.36
2486,34927,88.36
2486,37721,88.36
2613,39781,88.36
2613,41364,88.36
2613,47160,88.36
2613,50124,88.36
3215,34542,88.36
3303,35717,88.36
3303,51458,88.36
4455,50087,88.36
4455,50172,88.36
12409,15547,88.36
12409,16347,88.36
12409,34177,88.36
12409,49434,88.36
12409,58308,88.36
13237,44334,88.36
13237,47127,88.36
13237,50620,88.36
13237,197205,88.36
13237,200129,88.36
13237,210165,88.36
14907,59689,88.36
15547,16101,88.36
15547,44000,88.36
15547,50172,88.36
15547,50234,88.36
15547,50446,88.36
15547,51326,88.36
15547,59689,88.36
15547,197696,88.36
15547,199248,88.36
15547,199396,88.36
15547,206059,88.36
15547,209323,88.36
15547,211925,88.36
15826,13237,88.36
15826,34927,88.36
16101,34177,88.36
16101,56987,88.36
16101,58308,88.36
16347,31235,88.36
16347,47127,88.36
16347,50087,88.36
16347,50234,88.36
16347,50446,88.36
16347,50620,88.36
16347,51326,88.36
16347,57141,88.36
16347,59689,88.36
16347,197205,88.36
16347,198111,88.36
16347,200129,88.36
16347,200748,88.36
16347,203547,88.36
16347,205010,88.36
16347,205919,88.36
16347,209323,88.36
16347,209994,88.36
20253,58308,88.36
20562,1301,88.36
20562,12409,88.36
20562,50624,88.36
20562,51269,88.36
20562,59842,88.36
20562,209323,88.36
20562,327956,88.36
20562,328411,88.36
24482,2072,88.36
25160,41191,88.36
25160,43436,88.36
25160,44000,88.36
25160,44842,88.36
25160,50172,88.36
25160,59689,88.36
29075,2072,88.36
29075,16101,88.36
29075,44000,88.36
29075,50172,88.36
29246,2027,88.36
29246,13237,88.36
29246,56987,88.36
29246,58308,88.36
31235,2027,88.36
31449,58308,88.36
32590,2027,88.36
32590,49028,88.36
32590,58308,88.36
34177,50234,88.36
34177,50446,88.36
34177,51326,88.36
34177,59689,88.36
34422,2613,88.36
34422,34927,88.36
34927,44334,88.36
34927,47127,88.36
34927,50620,88.36
35353,15547,88.36
35353,24482,88.36
35353,35280,88.36
35353,49544,88.36
35353,50628,88.36
35360,31235,88.36
35426,15547,88.36
35426,16347,88.36
35426,34177,88.36
35482,2027,88.36
35482,56987,88.36
35600,2484,88.36
35600,12409,88.36
35600,16101,88.36
35600,20253,88.36
35600,31449,88.36
35600,32590,88.36
35600,35426,88.36
35600,35798,88.36
35600,39583,88.36
35600,43436,88.36
35600,43445,88.36
35600,44295,88.36
35600,50087,88.36
35600,50234,88.36
35600,50446,88.36
35600,51326,88.36
35600,57141,88.36
35600,59689,88.36
35600,62597,88.36
35661,34939,88.36
35798,1828,88.36
35798,2027,88.36
35798,13237,88.36
35798,16347,88.36
35798,34177,88.36
35798,34927,88.36
35798,49434,88.36
35798,56987,88.36
35798,58308,88.36
37721,2072,88.36
37721,16101,88.36
37721,41191,88.36
37721,44000,88.36
37721,49763,88.36
37721,50172,88.36
39351,2072,88.36
39351,29246,88.36
39351,41191,88.36
39351,43436,88.36
39351,44000,88.36
39351,49763,88.36
39351,50172,88.36
39583,2027,88.36
39583,56987,88.36
39583,58308,88.36
39801,24429,88.36
39801,51326,88.36
39931,13237,88.36
41044,2613,88.36
41191,49544,88.36
42487,13237,88.36
43142,60171,88.36
43436,2027,88.36
43436,13237,88.36
43436,16347,88.36
43436,34177,88.36
43436,41327,88.36
43436,49434,88.36
43436,56987,88.36
43436,58308,88.36
43445,1828,88.36
43445,2027,88.36
43445,13237,88.36
43445,15547,88.36
43445,16347,88.36
43445,34177,88.36
43445,39351,88.36
43445,49434,88.36
43445,56987,88.36
43445,58308,88.36
43858,20764,88.36
44000,49544,88.36
44295,58308,88.36
44530,30972,88.36
44842,1828,88.36
44842,2027,88.36
44842,13237,88.36
44842,16347,88.36
44842,29075,88.36
44842,35600,88.36
44842,49434,88.36
44842,56987,88.36
44842,58308,88.36
47608,34927,88.36
48305,2027,88.36
48305,58308,88.36
48817,2613,88.36
49028,31449,88.36
49434,16101,88.36
49434,29246,88.36
49434,50234,88.36
49434,50446,88.36
49434,51326,88.36
49434,59689,88.36
49763,15547,88.36
49763,49544,88.36
49920,13237,88.36
50087,12350,88.36
50087,34177,88.36
50172,49544,88.36
50172,60171,88.36
50234,2027,88.36
50234,58308,88.36
50446,2027,88.36
50446,58308,88.36
50628,41191,88.36
50628,44000,88.36
50628,49763,88.36
50628,50172,88.36
50858,58308,88.36
51185,21368,88.36
51185,25358,88.36
51326,2027,88.36
51326,58308,88.36
51458,2027,88.36
51458,56987,88.36
51706,15436,88.36
51706,16347,88.36
51706,39063,88.36
51706,58208,88.36
51933,1828,88.36
51933,16347,88.36
51933,34177,88.36
51933,35600,88.36
52143,1828,88.36
52143,2027,88.36
52143,13237,88.36
52143,16347,88.36
52143,29075,88.36
52143,34177,88.36
52143,34927,88.36
52143,35600,88.36
52143,49434,88.36
52143,56987,88.36
52143,58308,88.36
56987,50234,88.36
56987,50446,88.36
56987,51326,88.36
56987,59689,88.36
57141,34177,88.36
57902,2613,88.36
57902,13237,88.36
57902,34927,88.36
58011,13237,88.36
58011,34927,88.36
59689,2027,88.36
60456,13237,88.36
61394,2027,88.36
61394,56987,88.36
62443,35625,88.36
132337,12409,88.36
132337,197205,88.36
132337,199125,88.36
132337,203547,88.36
132337,205919,88.36
132337,209254,88.36
197551,15547,88.36
198385,1301,88.36
198385,12409,88.36
198385,197205,88.36
198385,199125,88.36
198385,203547,88.36
198385,205919,88.36
198385,209323,88.36
198385,328411,88.36
199524,16101,88.36
199524,197205,88.36
199524,198111,88.36
199524,200748,88.36
199524,203547,88.36
199524,205919,88.36
199524,206059,88.36
199524,209323,88.36
199524,215234,88.36
203547,2027,88.36
203547,13237,88.36
203554,2027,88.36
204092,198978,88.36
204207,15547,88.36
204403,15547,88.36
204403,16347,88.36
205068,2027,88.36
205068,16347,88.36
205483,15547,88.36
205919,2027,88.36
209323,2027,88.36
209994,2027,88.36
210801,204092,88.36
212321,15547,88.36
212424,13237,88.36
215234,2027,88.36
215234,16347,88.36
216239,15547,88.36
216302,2027,88.36
12455,60171,88.79
15399,329110,88.79
