ASnumber,AS_ID,AS_Organization,CO2_Intensity
37057,37057_VODACOM-LESOTHO,Vodacom Lesotho (Pty) Ltd,20.83
33567,33567_TELECOM-LESOTHO,Econet Telecom Lesotho (PTY) LTD,20.83
37642,37642_Comnet-Lesotho-AS,Comnet Pty Ltd,20.83
25695,25695_LEO,Leo (PTY) LTD,20.83
45650,45650_VIANET-NP,VIA NET COMMUNICATION PUBLIC LIMITED,23.36
18222,18222_DATAHUB-AS-AP,Data Hub Pvt. Ltd.,23.36
23647,23647_CCNEP-AS-NP,Communications & Communicate Nepal Pvt Ltd,23.36
45353,45353_NITC-AS-AP,National Information Technology Center,23.36
58433,58433_HIMALAYANBANK01-NP,Himalayan Bank Ltd,23.36
132270,132270_NABILBANKLIMITED-AS-AP,Nabil Bank Limited,23.36
132856,132856_KU-AS-NP,Kathmandu University,23.36
133092,133092_F1SOFT-NP,F-1 Soft International Pvt. Ltd.,23.36
133128,133128_MBL-AS-AP,Machhapuchchhre Bank Limited,23.36
133179,133179_SYNTEGRATE-AS-AP,Syntegrate,23.36
133925,133925_GLOBALBANKLIMITED-AS-AP,Global IME Bank Limited,23.36
134951,134951_MOFGON-AS-AP,"Ministry of Finance, Government of Nepal",23.36
136047,136047_INFODEV-AS-AP,Info Developers Pvt. Ltd.,23.36
136219,136219_PRABHUBANKLIMITED-AS-AP,PRABHU BANK LIMITED,23.36
136979,136979_SANIMABANKLIMITED-AS-AP,SANIMA BANK LIMITED,23.36
138388,138388_POKHARA-AS-AP,Pokhara Internet Pvt. Ltd.,23.36
139237,139237_NEPALPOLICE-AS-AP,Nepal Police,23.36
139256,139256_NITC-AS-AP,National Information Technology Center,23.36
139701,139701_PTPL-AS-AP,Plasma Technologist Pvt Ltd,23.36
141240,141240_NIBL-AS-AP,Nepal Investment Bank Limited,23.36
141691,141691_WIPL-AS-AP,Waling Internet Pvt. Ltd.,23.36
142621,142621_NPSPL-AS-AP,NPS,23.36
149034,149034_UNITENETWORKS-AS-AP,Unite Networks,23.36
149817,149817_CEIPL-AS-AP,Cloud Eight International Pvt. Ltd.,23.36
150691,150691_PCBL-AS-AP,Prime Commercial Bank Ltd,23.36
150780,150780_KUMARIBANKLIMITED-AS-AP,Kumari Bank Limited,23.36
